"lonely hearts (2006)","27"
"hairspray (2007)","27"
"the hangover (2009)","27"
"whatever works (2009)","27"
"state and main (2000)","27"
"the toe tactic (2008)","27"
"stranger than fiction (2006)","27"
"the midnight meat train (2008)","27"
"the family man (2000)","27"
"edge of darkness (2010)","27"
"elizabethtown (2005)","27"
"the perfect game (2009)","27"
"legally blonde (2001)","27"
"inland empire (2006)","27"
"up (2009)","27"
"the devil wears prada (2006)","27"
"my one and only (2009)","27"
"unknown (2006)","27"
"the hours (2002)","27"
"high fidelity (2000)","27"
"revolutionary road (2008)","27"
"kill bill: vol. 2 (2004)","27"
"delirious (2006)","27"
"the assassination of richard nixon (2004)","27"
"smokin' aces (2006)","27"
"the baxter (2005)","27"
"neal cassady (2007)","27"
"in good company (2004)","27"
"i heart huckabees (2004)","27"
"the perfect storm (2000)","27"
"seabiscuit (2003)","27"
"me, myself & irene (2000)","27"
"the bourne supremacy (2004)","27"
"big stan (2007)","27"
"wonderland (2003)","27"
"storytelling (2001)","27"
"the assassination of jesse james by the coward robert ford (2007)","27"
"matchstick men (2003)","27"
"cop out (2010)","27"
"requiem for a dream (2000)","27"
"the badge (2002)","27"
"john q (2002)","27"
"baby mama (2008)","27"
"superbad (2007)","27"
"cloudy with a chance of meatballs (2009)","27"
"sky high (2005)","26"
"my own love song (2010)","26"
"curious george (2006)","26"
"bolt (2008)","26"
"the replacements (2000)","26"
"bobby jones: stroke of genius (2004)","26"
"i, robot (2004)","26"
"intolerable cruelty (2003)","26"
"the game of their lives (2005)","26"
"the anniversary party (2001)","26"
"choke (2008)","26"
"house of d (2004)","26"
"the life and death of peter sellers (2004)","26"
"no country for old men (2007)","26"
"kung fu panda (2008)","26"
"seraphim falls (2006)","25"
"pretty persuasion (2005)","25"
"final fantasy: the spirits within (2001)","25"
"confidence (2003)","25"
"auto focus (2002)","25"
"the devil's rejects (2005)","25"
"the new world (2005)","25"
"prime (2005)","25"
"looney tunes: back in action (2003)","25"
"i'm with lucy (2002)","25"
"mr. & mrs. smith (2005)","25"
"the contender (2000)","25"
"timecode (2000)","25"
"21 grams (2003)","25"
"kate & leopold (2001)","25"
"brooklyn's finest (2009)","25"
"stephanie daley (2006)","25"
"gardener of eden (2007)","25"
"coach carter (2005)","25"
"no reservations (2007)","25"
"planet terror (2007)","25"
"far from heaven (2002)","25"
"the chumscrubber (2005)","25"
"friends with money (2006)","25"
"alpha dog (2006)","25"
"assault on precinct 13 (2005)","25"
"the patriot (2000)","25"
"cadillac records (2008)","25"
"running with scissors (2006)","25"
"beerfest (2006)","25"
"50 first dates (2004)","25"
"impostor (2001)","25"
"be kind rewind (2008)","25"
"the prestige (2006)","25"
"broken flowers (2005)","25"
"donnie darko (2001)","25"
"spun (2002)","25"
"it's complicated (2009)","25"
"gigantic (2008)","25"
"the italian job (2003)","25"
"i love you, man (2009)","25"
"forgetting sarah marshall (2008)","25"
"white oleander (2002)","25"
"the school of rock (2003)","25"
"fever pitch (2005)","25"
"25th hour (2002)","25"
"pollock (2000)","25"
