movie	actor
2209	1329
1927	1406
586	407
229	535
257	492
504	445
2648	1122
2818	1943
2192	247
1203	1418
1744	505
590	647
2051	1666
2800	230
607	110
759	1603
1108	1821
334	347
2046	1947
1523	1924
1744	42
650	621
1461	949
1155	1884
832	1007
549	1461
2833	197
1894	979
2277	750
1107	1461
1611	979
2819	127
215	916
1319	112
2645	917
1383	1252
1619	661
2640	1952
2579	1404
307	1288
1014	799
1173	112
261	1137
145	773
2700	1425
2247	1611
617	961
1101	1190
2769	1506
553	1376
2155	153
1326	1466
2557	898
679	762
1070	103
1495	1556
2453	1704
35	256
1530	1617
2504	1878
96	544
217	529
1236	952
1999	155
1958	1388
579	1664
787	582
2661	565
864	591
1181	1533
275	661
2390	1363
2359	1789
2737	766
535	1625
1133	524
1900	203
1562	211
993	1378
1157	365
2338	616
2542	1608
2656	704
657	1152
878	566
1698	1364
2065	1319
2316	532
1784	757
1923	1224
604	267
1199	965
130	705
131	720
2845	1026
1789	435
1840	1120
845	1675
1352	850
2700	245
912	245
587	796
769	1386
300	284
2560	705
1677	1398
2213	342
561	879
2718	635
1011	869
47	304
47	303
1991	1945
97	541
810	1368
850	1865
581	1166
2574	1597
1317	1384
2214	424
974	1370
280	1213
2716	1771
1985	346
1558	965
2240	682
116	664
147	779
1350	1593
1357	625
327	1343
1844	1261
1272	1872
1555	1640
1508	1983
1927	513
2360	1956
243	1073
259	1126
465	400
402	453
574	38
1211	1957
2547	1513
1169	1910
795	1375
268	14
2446	1582
380	806
2263	1395
2486	741
1513	1926
2668	1244
583	60
467	559
1972	84
1377	1192
2647	157
408	1460
2849	1949
1647	1035
685	220
1492	1011
1766	465
1959	836
1100	1937
2521	1700
1660	1099
2570	1058
2200	807
2064	1921
1984	785
116	665
52	322
1577	176
1647	791
1330	1310
1024	1029
1173	456
1475	1753
771	998
1162	779
1566	519
54	334
1173	902
2436	973
1976	1923
2760	1111
2665	180
2109	214
209	950
1509	478
416	1077
1495	42
2416	580
1892	915
1159	482
733	541
108	627
1261	1168
1555	1707
1903	1602
811	997
2039	593
1451	1659
301	1271
1142	1134
188	202
2526	1094
2169	1020
261	723
2575	1220
650	552
462	422
1673	1125
710	1746
1972	1657
2606	1052
1717	450
2010	1608
1263	1071
259	790
511	562
1847	672
707	1013
1727	1878
453	1141
1600	1402
2527	84
61	144
2729	1692
515	284
2521	1022
332	1023
387	1426
260	1129
305	1280
436	502
2370	1297
1257	1895
1107	899
933	1101
1220	1940
1573	113
1108	196
1688	1561
2582	1221
2333	1634
436	586
1567	1702
1481	1334
1842	7
2026	1639
1365	1611
1843	983
22	136
1390	1864
620	503
486	1555
1452	438
2263	1001
642	1345
442	575
1844	789
471	745
217	979
1833	120
253	1110
2531	634
2246	1207
2035	834
2840	924
101	583
2589	505
2176	6
174	863
719	1052
2248	1879
2819	1051
60	365
937	1702
441	488
2815	1437
929	1046
83	465
1547	186
1840	898
1045	888
2546	112
56	347
608	1704
1669	1936
2123	1761
2111	1071
1378	1533
615	533
1540	1439
1931	44
42	277
2713	366
1430	1294
2379	1505
2230	1491
2133	22
713	599
1810	997
745	1058
2082	1252
1591	1768
754	705
1789	532
1721	1254
1754	1503
436	427
1165	1388
1615	57
925	222
160	827
2268	538
241	48
764	857
2574	1084
2245	430
170	856
2086	1218
2621	441
1191	1250
960	1401
2459	765
2055	524
990	1516
1845	1663
2376	1877
1614	493
2099	1625
1049	1601
1457	932
555	410
326	1330
2818	1105
111	641
1759	788
1778	1369
2479	182
1985	1823
2580	1
100	581
2704	1535
97	557
388	93
903	1688
1327	737
598	1560
518	1611
2246	698
1631	1787
999	1604
1197	1793
1320	13
2028	882
1707	1671
2256	1401
531	436
2744	1028
2705	766
2376	1475
2387	273
1844	295
1162	1491
479	1402
389	1432
1572	987
1078	793
2489	55
398	1446
763	1805
96	418
2547	504
1815	1303
2476	653
1238	1774
1328	824
530	695
2327	481
2824	1132
2074	642
310	1300
1785	1008
2722	509
2749	265
1610	535
1904	1384
2555	1738
912	1004
2745	976
1041	1517
1527	1930
535	252
2597	427
2373	1145
2799	1630
2160	924
2492	1346
2169	206
1760	189
141	751
