26000	3068
1054	1002
26489	664
11958	547
40283	4406
4935	4147
16306	8443
2146	1992
2064	1916
14207	4058
27051	3142
28726	6655
13473	4755
14731	6823
13011	467
839	800
870	828
33477	6560
28789	8909
4887	1978
33262	8254
39965	1018
12584	3246
19809	9025
43063	9363
38013	7408
15903	6032
37407	8437
9244	6390
43703	714
19184	8918
33373	9447
14521	4804
37696	8970
17254	7240
5117	4251
28313	2627
9699	4199
21388	6136
37577	4170
85	85
21379	6144
29262	3786
14956	7534
23874	1649
24899	9554
41035	3775
39776	9474
25849	9463
35140	3735
15147	8216
867	825
11515	7237
15294	5770
27331	7079
18019	8227
7622	1182
19146	3128
43778	4871
25730	2229
22760	9382
19466	8971
34916	6515
25436	8680
26968	9611
20561	6783
3927	3454
10342	6837
15763	3868
41483	5173
105	104
4087	3559
41762	7502
4937	4147
31211	7274
10553	6921
37298	3178
28797	5261
10664	4404
33887	9948
14359	3682
17900	744
24965	2125
6444	5072
24620	1953
15448	8290
6151	4595
20050	4121
21497	8788
23702	8648
30971	431
16338	8453
9652	944
13342	3531
31743	4638
26487	9282
23797	2390
3631	3225
40767	1269
35563	7066
7951	144
21627	3258
38047	9990
3135	2802
10080	6719
41528	8201
9702	5345
40344	3782
22497	342
36927	7414
35514	1517
6854	5266
44042	9984
39724	2709
945	897
39747	6200
25025	6352
18615	2795
15161	7956
26891	3488
14453	8052
20711	3812
18819	21
1890	1762
42217	4964
14418	1767
34762	9955
12279	2275
15236	5613
18185	8734
44124	3791
25844	637
3779	3345
13182	711
5114	2576
27918	5510
10662	6961
22830	2709
2931	2656
33713	6387
13272	7745
499	477
24612	3097
19884	4332
18011	4157
11445	7218
36739	3811
24277	8708
21996	7626
23899	8175
27340	9712
1167	1108
23564	7811
7824	4124
8771	6190
15584	8313
42645	28
44062	4918
41656	8129
9304	735
17024	649
37786	4434
35330	7216
2825	2560
23114	4569
23172	1407
22520	2297
12447	6670
39577	8781
32137	2868
11712	7076
