movie	actor
2311	8372
1007	7178
2916	5190
3435	135
2425	9478
3453	30
1111	7450
1012	825
380	4162
2776	9843
883	163
3042	5117
2780	3088
1444	7385
1759	6000
3120	2907
3098	8750
3447	1417
2436	6890
165	2225
161	2122
69	908
1235	1417
3499	8833
833	6546
2090	6780
3091	6909
2891	6780
2409	5050
602	4244
1343	8152
3607	9985
2602	4069
48	728
1932	3708
130	311
3919	5066
4148	3606
1888	2454
2128	6389
732	6062
1625	6463
2692	9141
2246	9006
3080	4735
1884	9096
3626	225
2481	1742
2991	3798
3072	9785
637	5592
2543	1687
1179	5768
2617	4111
1201	3067
643	3007
2885	9859
110	1398
1651	8719
3118	6317
1203	5409
3137	8007
2836	8559
149	1972
638	2835
130	1697
2126	8207
230	1803
562	2832
1068	792
3347	8038
62	837
3463	6693
2418	30
3698	4228
2506	4238
3870	2591
3118	4183
140	1769
1217	4638
3778	3726
2436	8476
2632	6151
771	6225
2573	4381
1482	6524
183	2469
332	3739
447	4605
3193	6854
858	4017
3458	4107
2593	2500
560	5267
882	5138
3583	5155
2767	3994
1607	8279
207	2750
2124	8202
1529	8503
3456	3698
3528	2940
3053	5291
2096	8948
3366	5018
3740	8194
3100	3321
467	2127
881	3675
2767	5214
4122	5604
3828	192
3468	2210
1032	2155
86	1109
3270	2330
2463	971
1347	6228
1831	2404
3735	215
260	3233
3609	8005
1980	9171
3965	3378
4141	147
3988	7433
1767	5498
328	3717
2297	8693
1585	8601
900	1828
80	1056
4049	2555
2421	6261
71	956
1302	4465
2536	4422
1544	5388
4002	100
3036	6936
2219	4852
3269	7731
1484	8412
3700	2976
3182	2192
1586	5723
4151	8136
4075	2986
1155	4180
2884	301
2969	6914
926	6931
3990	3101
3401	717
2186	8634
3165	150
1062	231
395	4263
2758	9264
315	3602
1090	7388
3731	9926
897	6774
2991	7441
2764	9834
2750	9418
1970	8725
3051	782
815	6476
211	2818
1308	8045
2161	9406
1847	2110
2991	3674
1155	7600
2752	4751
1872	3218
2353	2889
4052	3785
2078	7005
784	5702
3008	1300
1634	3506
1974	8748
771	6295
496	1293
2126	7474
749	4018
3231	2668
871	6646
457	4456
964	4475
2166	1923
1544	1826
3233	4676
2810	1458
1072	4598
1850	1723
4123	1416
4115	9256
2084	1273
3718	2730
3709	2225
3560	8843
4096	7463
3626	3234
3059	7336
3052	7448
940	5456
3008	6602
1494	8119
1519	6473
1824	3607
1850	1731
2031	6233
1108	4863
337	3492
3930	8239
3471	6155
340	1283
2858	6702
481	3442
3038	7462
984	4941
2034	2985
3375	6454
2256	6993
3136	3606
3270	8923
2857	5622
199	2696
2815	9680
3736	8007
2406	9644
780	5096
239	970
3893	9852
98	1301
932	941
698	1682
1508	2206
1355	8058
3433	4736
3288	3780
1939	9169
2723	5048
2417	6219
186	2531
3897	8235
2068	5040
361	3976
1302	8019
3279	7583
3233	7630
3288	9814
48	705
2192	5203
3686	6001
8	31
1651	6921
3384	5076
4123	4257
3244	7277
188	2542
1332	7652
2716	8692
965	5075
1594	7831
4060	7149
3411	3428
2072	3883
3443	130
1551	30
2951	4214
575	5337
3244	416
1177	4416
2219	1649
2255	4876
737	4091
86	1108
4039	3905
2667	1409
3870	1886
3599	6021
3838	3480
713	5995
1442	3714
1881	5402
2199	8844
1118	4810
165	2224
2141	5946
4023	8225
1885	8214
2412	8798
1452	6578
2328	7599
34	288
2168	7023
562	5284
4012	1473
2431	7516
1315	2605
3769	9146
2934	9579
2796	2210
2146	3282
168	2279
2373	5876
2101	7156
3704	2431
3335	6290
1060	7296
319	3663
404	4301
905	6825
125	1293
1129	3820
1373	5978
3562	9527
1684	4777
1829	9000
505	5073
2446	1844
2570	2242
2917	715
872	2798
1723	6772
2003	8592
2815	8255
1855	7640
1599	1729
3749	777
2362	2096
1501	3640
1935	5661
2059	6560
3720	4369
1486	7210
3512	9615
1590	5857
3549	7576
715	5999
1517	524
2214	9471
1041	7251
1595	7573
1486	5139
3329	7307
1152	4761
2695	7736
423	4432
1857	391
2536	1151
3781	9206
1015	1863
1166	3377
1898	290
340	3844
3968	9891
3648	7717
347	3896
2195	5415
3553	2728
1738	4474
2630	9109
388	1175
477	4813
1348	5516
459	4699
2132	4825
2922	9787
2079	9322
829	6498
2871	4812
602	1263
2353	4248
1875	4226
1271	32
1651	5826
3968	1668
1720	5337
1118	40
976	5212
2457	4525
146	1894
2643	7748
1022	4932
1554	5798
2821	708
3007	4488
2061	9299
3415	4220
3142	1405
1821	4563
500	5040
1272	961
3118	4132
352	3933
2949	4869
3747	8705
2536	4615
44	607
1219	1844
293	831
3099	1310
3879	5516
412	208
591	2293
1429	2293
2511	7565
1757	3135
1252	1417
3524	9833
4009	392
2328	386
3480	9571
2115	8877
1306	7185
1331	78
3822	4359
3038	1777
2602	2161
146	1883
1302	8026
1555	639
3865	1636
3648	7778
3088	7721
976	6386
968	7054
3769	4823
304	919
369	4089
1046	2102
2109	9357
627	3604
784	947
3900	645
2463	9669
747	6234
416	4382
3500	7939
3832	7960
3118	3823
851	4531
123	1617
3578	3354
1148	7553
3750	9779
3341	31
869	6642
